id_transacao,data_transacao,id_fornecedor,id_solicitante,id_aprovador,area,categoria_despesa,valor,metodo_pagamento,contrato_id,status
TX000001,2025-12-01,FOR0016,APR018,APR013,Facilities,Materiais e suprimentos,397302.42,Cartão corporativo,CTR0016,Pago
TX000002,2026-05-07,FOR0030,APR008,APR008,TI,Consultoria,43108.04,Transferência,CTR0030,Estornado
TX000003,2025-11-24,FOR0016,APR024,APR018,Compras,Frete e logística,1619.72,Transferência,CTR0016,Estornado
TX000004,2025-11-10,FOR0032,APR005,APR022,Facilities,Manutenção predial,41037.07,Cartão corporativo,CTR0032,Pago
TX000005,2025-12-10,FOR0029,APR001,APR007,TI,Materiais e suprimentos,83209.24,Cartão corporativo,,Pago
TX000006,2025-07-11,FOR0020,APR019,APR006,Marketing,Serviços de TI,116525.21,Boleto,CTR0020,Pago
TX000007,2025-12-22,FOR0036,APR004,APR014,RH,Materiais e suprimentos,2090.69,Pix,CTR0036,Pendente
TX000008,2026-01-19,FOR0010,APR011,APR020,Compras,Manutenção predial,8461.55,Boleto,,Pendente
TX000009,2025-10-18,FOR0019,APR008,APR009,Compras,Brindes e hospitalidade,360.78,Cartão corporativo,CTR0019,Pago
TX000010,2025-08-21,FOR0017,APR001,APR009,Compras,Licenças de software,9030.35,Cartão corporativo,,Pago
TX000011,2025-09-29,FOR0036,APR020,APR002,Jurídico,Consultoria,9058.12,Transferência,CTR0036,Pago
TX000012,2026-05-08,FOR0034,APR011,APR017,Marketing,Utilidades,4081.68,Cartão corporativo,CTR0034,Pendente
TX000013,2025-09-22,FOR0019,APR023,APR017,Marketing,Licenças de software,16596.47,Transferência,CTR0019,Pago
TX000014,2025-09-17,FOR0027,APR017,APR010,Logística,Consultoria,417943.82,Cartão corporativo,CTR0027,Pago
TX000015,2025-07-30,FOR0032,APR021,APR003,TI,Frete e logística,223401.98,Boleto,CTR0032,Pendente
TX000016,2025-10-13,FOR0012,APR014,APR023,TI,Materiais e suprimentos,7943.97,Pix,CTR0012,Estornado
TX000017,2026-03-09,FOR0005,APR021,APR002,Jurídico,Brindes e hospitalidade,954.04,Pix,,Pendente
TX000018,2025-11-10,FOR0013,APR009,APR006,Marketing,Utilidades,35995.37,Boleto,CTR0013,Pago
TX000019,2026-01-19,FOR0005,APR015,APR009,Compras,Frete e logística,1575.25,Transferência,,Pago
TX000020,2025-12-22,FOR0036,APR001,APR007,TI,Materiais e suprimentos,35451.76,Pix,CTR0036,Pago
TX000021,2025-09-15,FOR0028,APR013,APR018,Compras,Brindes e hospitalidade,2747.03,Transferência,CTR0028,Pendente
TX000022,2025-10-09,FOR0003,APR011,APR013,Facilities,Manutenção predial,183556.12,Pix,CTR0003,Pago
