id_achado,id_transacao,id_regra,severidade,data_deteccao,status_achado,valor_em_risco,descricao
AC000001,TX000001,R010,Alta,2025-12-01,Em análise,397302.42,Pagamento a fornecedor sinalizado como parte relacionada.
AC000002,TX000002,R003,Alta,2026-05-07,Aberto,43108.04,Solicitante e aprovador são o mesmo colaborador.
AC000003,TX000003,R010,Alta,2025-11-24,Aberto,1619.72,Pagamento a fornecedor sinalizado como parte relacionada.
AC000004,TX000005,R001,Alta,2025-12-10,Em análise,33209.24,"Valor de R$ 83.209,24 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000005,TX000005,R002,Alta,2025-12-10,Em análise,83209.24,"Pagamento de R$ 83.209,24 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000006,TX000006,R001,Alta,2025-07-11,Resolvido,66525.21,"Valor de R$ 116.525,21 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000007,TX000007,R005,Alta,2025-12-22,Aberto,2090.69,Fornecedor com situação cadastral irregular na due diligence.
AC000008,TX000007,R010,Alta,2025-12-22,Aberto,2090.69,Pagamento a fornecedor sinalizado como parte relacionada.
AC000009,TX000008,R005,Alta,2026-01-19,Em análise,8461.55,Fornecedor com situação cadastral irregular na due diligence.
AC000010,TX000009,R004,Baixa,2025-10-18,Aberto,0.0,Pagamento liquidado em sábado.
AC000011,TX000011,R005,Alta,2025-09-29,Em análise,9058.12,Fornecedor com situação cadastral irregular na due diligence.
AC000012,TX000011,R010,Alta,2025-09-29,Em análise,9058.12,Pagamento a fornecedor sinalizado como parte relacionada.
AC000013,TX000013,R001,Alta,2025-09-22,Aberto,6596.47,"Valor de R$ 16.596,47 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000014,TX000015,R001,Alta,2025-07-30,Aberto,23401.98,"Valor de R$ 223.401,98 acima da alçada do aprovador (Gerente, limite R$ 200.000,00)."
AC000015,TX000020,R005,Alta,2025-12-22,Falso positivo,35451.76,Fornecedor com situação cadastral irregular na due diligence.
AC000016,TX000020,R010,Alta,2025-12-22,Aberto,35451.76,Pagamento a fornecedor sinalizado como parte relacionada.
AC000017,TX000021,R009,Média,2025-09-15,Aberto,1747.03,"Brinde/hospitalidade de R$ 2.747,03 acima do teto de R$ 1.000,00."
AC000018,TX000022,R005,Alta,2025-10-09,Em análise,183556.12,Fornecedor com situação cadastral irregular na due diligence.
AC000019,TX000025,R004,Baixa,2025-10-04,Aberto,0.0,Pagamento liquidado em sábado.
AC000020,TX000026,R003,Alta,2026-03-23,Aberto,5293.39,Solicitante e aprovador são o mesmo colaborador.
AC000021,TX000029,R005,Alta,2025-11-13,Em análise,10545.39,Fornecedor com situação cadastral irregular na due diligence.
AC000022,TX000030,R005,Alta,2026-06-22,Aberto,7023.48,Fornecedor com situação cadastral irregular na due diligence.
AC000023,TX000033,R003,Alta,2025-07-21,Resolvido,1339.25,Solicitante e aprovador são o mesmo colaborador.
AC000024,TX000033,R010,Alta,2025-07-21,Aberto,1339.25,Pagamento a fornecedor sinalizado como parte relacionada.
AC000025,TX000034,R005,Alta,2025-07-28,Aberto,312.28,Fornecedor com situação cadastral irregular na due diligence.
AC000026,TX000035,R001,Alta,2025-10-16,Aberto,57922.15,"Valor de R$ 107.922,15 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000027,TX000035,R005,Alta,2025-10-16,Em análise,107922.15,Fornecedor com situação cadastral irregular na due diligence.
AC000028,TX000035,R010,Alta,2025-10-16,Em análise,107922.15,Pagamento a fornecedor sinalizado como parte relacionada.
AC000029,TX000036,R002,Alta,2026-05-11,Aberto,686080.37,"Pagamento de R$ 686.080,37 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000030,TX000037,R005,Alta,2026-06-17,Falso positivo,2468.79,Fornecedor com situação cadastral irregular na due diligence.
AC000031,TX000038,R004,Baixa,2025-09-06,Resolvido,0.0,Pagamento liquidado em sábado.
AC000032,TX000039,R004,Baixa,2026-04-25,Aberto,0.0,Pagamento liquidado em sábado.
AC000033,TX000040,R004,Baixa,2026-04-18,Aberto,0.0,Pagamento liquidado em sábado.
AC000034,TX000041,R005,Alta,2026-01-19,Aberto,4625.53,Fornecedor com situação cadastral irregular na due diligence.
AC000035,TX000042,R001,Alta,2026-01-15,Resolvido,1776.87,"Valor de R$ 11.776,87 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000036,TX000044,R005,Alta,2026-04-01,Em análise,6588.05,Fornecedor com situação cadastral irregular na due diligence.
AC000037,TX000046,R002,Alta,2025-11-14,Em análise,145789.13,"Pagamento de R$ 145.789,13 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000038,TX000049,R001,Alta,2026-02-18,Falso positivo,13128.53,"Valor de R$ 23.128,53 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000039,TX000049,R005,Alta,2026-02-18,Em análise,23128.53,Fornecedor com situação cadastral irregular na due diligence.
AC000040,TX000049,R008,Baixa,2026-02-18,Em análise,0.0,Lançamento sem categoria de despesa.
AC000041,TX000050,R004,Baixa,2026-03-28,Em análise,0.0,Pagamento liquidado em sábado.
AC000042,TX000050,R005,Alta,2026-03-28,Aberto,3049.95,Fornecedor com situação cadastral irregular na due diligence.
AC000043,TX000052,R005,Alta,2026-06-08,Aberto,910.72,Fornecedor com situação cadastral irregular na due diligence.
AC000044,TX000052,R010,Alta,2026-06-08,Aberto,910.72,Pagamento a fornecedor sinalizado como parte relacionada.
AC000045,TX000053,R009,Média,2025-11-24,Aberto,2264.48,"Brinde/hospitalidade de R$ 3.264,48 acima do teto de R$ 1.000,00."
AC000046,TX000055,R005,Alta,2026-05-14,Aberto,291.71,Fornecedor com situação cadastral irregular na due diligence.
AC000047,TX000055,R006,Média,2026-05-14,Resolvido,291.71,"Possível fracionamento: 7 pagamentos ao mesmo fornecedor em 10 dias somando R$ 50.570,55."
AC000048,TX000056,R005,Alta,2025-09-22,Resolvido,5557.18,Fornecedor com situação cadastral irregular na due diligence.
AC000049,TX000056,R009,Média,2025-09-22,Em análise,4557.18,"Brinde/hospitalidade de R$ 5.557,18 acima do teto de R$ 1.000,00."
AC000050,TX000060,R001,Alta,2026-06-15,Resolvido,7077.83,"Valor de R$ 17.077,83 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000051,TX000061,R001,Alta,2025-12-27,Resolvido,5872.68,"Valor de R$ 15.872,68 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000052,TX000061,R004,Baixa,2025-12-27,Em análise,0.0,Pagamento liquidado em sábado.
AC000053,TX000062,R003,Alta,2025-12-10,Em análise,973.41,Solicitante e aprovador são o mesmo colaborador.
AC000054,TX000063,R006,Média,2025-11-11,Aberto,30559.75,"Possível fracionamento: 3 pagamentos ao mesmo fornecedor em 10 dias somando R$ 79.885,61."
AC000055,TX000064,R001,Alta,2025-07-01,Resolvido,11954.78,"Valor de R$ 21.954,78 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000056,TX000065,R010,Alta,2025-07-15,Aberto,1181.49,Pagamento a fornecedor sinalizado como parte relacionada.
AC000057,TX000067,R004,Baixa,2026-06-20,Resolvido,0.0,Pagamento liquidado em sábado.
AC000058,TX000069,R005,Alta,2026-04-20,Em análise,71076.43,Fornecedor com situação cadastral irregular na due diligence.
AC000059,TX000070,R005,Alta,2026-03-09,Resolvido,5603.69,Fornecedor com situação cadastral irregular na due diligence.
AC000060,TX000070,R010,Alta,2026-03-09,Resolvido,5603.69,Pagamento a fornecedor sinalizado como parte relacionada.
AC000061,TX000072,R001,Alta,2025-07-28,Aberto,65565.05,"Valor de R$ 115.565,05 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000062,TX000073,R004,Baixa,2026-04-25,Em análise,0.0,Pagamento liquidado em sábado.
AC000063,TX000075,R001,Alta,2025-10-31,Resolvido,4870.58,"Valor de R$ 14.870,58 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
