id_fornecedor,razao_social,cnpj,uf,categoria_fornecimento,possui_contrato,contrato_id,situacao_cadastral,parte_relacionada
FOR0001,Alves e Filhos,43.815.092/0001-70,PR,Manutenção predial,True,CTR0001,Irregular,False
FOR0002,Andrade,01.384.592/0001-55,RJ,Treinamento,True,CTR0002,Regular,False
FOR0003,Silva Rezende e Filhos,86.374.209/0001-30,DF,Treinamento,True,CTR0003,Irregular,False
FOR0004,Fernandes,42.368.091/0001-62,DF,Viagens corporativas,False,,Regular,False
FOR0005,Fogaça Ltda.,94.053.871/0001-17,SP,Manutenção predial,False,,Regular,False
FOR0006,Novaes Ltda.,95.380.617/0001-96,SC,Serviços de TI,True,CTR0006,Regular,False
FOR0007,da Conceição S/A,64.752.198/0001-42,GO,Marketing e eventos,False,,Irregular,False
FOR0008,Rios da Mata e Filhos,12.397.584/0001-60,BA,Serviços de TI,True,CTR0008,Regular,False
FOR0009,Rodrigues Duarte S/A,30.592.817/0001-67,SC,Treinamento,True,CTR0009,Regular,False
FOR0010,Cunha,76.912.845/0001-15,RS,Serviços de TI,False,,Irregular,False
FOR0011,Souza,96.821.530/0001-70,PE,Utilidades,True,CTR0011,Regular,False
FOR0012,Camargo S.A.,26.138.459/0001-40,RS,Utilidades,True,CTR0012,Regular,False
FOR0013,Novaes,01.465.298/0001-78,PR,Manutenção predial,True,CTR0013,Regular,False
FOR0014,Castro,70.491.682/0001-68,DF,Frete e logística,True,CTR0014,Regular,False
FOR0015,Porto,83.271.406/0001-36,PR,Materiais e suprimentos,True,CTR0015,Regular,False
FOR0016,Mendonça,01.562.893/0001-21,GO,Consultoria,True,CTR0016,Regular,True
FOR0017,Barros e Filhos,71.285.364/0001-03,PE,Manutenção predial,False,,Regular,False
FOR0018,Cunha,83.495.267/0001-24,RS,Treinamento,False,,Regular,False
FOR0019,Campos,39.120.476/0001-00,MG,Licenças de software,True,CTR0019,Regular,False
FOR0020,Abreu Barbosa e Filhos,03.192.678/0001-01,MG,Utilidades,True,CTR0020,Regular,False
FOR0021,Cunha,82.713.560/0001-58,BA,Viagens corporativas,False,,Regular,False
FOR0022,Ribeiro - ME,56.839.047/0001-06,DF,Materiais e suprimentos,True,CTR0022,Regular,False
FOR0023,Siqueira,51.386.470/0001-76,RS,Utilidades,True,CTR0023,Regular,False
FOR0024,Cirino,47.360.859/0001-75,SP,Marketing e eventos,True,CTR0024,Regular,False
FOR0025,Borges S.A.,26.731.804/0001-54,RJ,Utilidades,True,CTR0025,Regular,False
FOR0026,Abreu,64.723.850/0001-09,MG,Consultoria,False,,Regular,False
FOR0027,da Rocha Cunha S/A,98.052.746/0001-43,DF,Materiais e suprimentos,True,CTR0027,Regular,False
FOR0028,Montenegro,82.047.159/0001-26,SC,Marketing e eventos,True,CTR0028,Regular,False
FOR0029,Rocha S.A.,61.349.058/0001-30,RJ,Serviços de TI,False,,Regular,False
FOR0030,da Luz,35.927.164/0001-43,DF,Manutenção predial,True,CTR0030,Regular,False
FOR0031,Sá,10.746.852/0001-86,RS,Licenças de software,False,,Regular,False
FOR0032,Montenegro da Luz S.A.,51.326.879/0001-05,DF,Frete e logística,True,CTR0032,Regular,False
FOR0033,Pimenta,80.459.126/0001-68,SC,Brindes e hospitalidade,True,CTR0033,Regular,False
FOR0034,Souza - EI,24.871.956/0001-27,RJ,Consultoria,True,CTR0034,Regular,False
FOR0035,Montenegro,74.095.326/0001-86,SP,Serviços de TI,False,,Regular,False
FOR0036,Farias S.A.,42.795.306/0001-21,SP,Consultoria,True,CTR0036,Irregular,True
FOR0037,Sales S.A.,80.546.139/0001-74,PR,Licenças de software,False,,Regular,False
FOR0038,das Neves Ltda.,05.381.927/0001-32,PE,Frete e logística,False,,Regular,False
FOR0039,Pinto,23.961.804/0001-52,RJ,Utilidades,True,CTR0039,Regular,False
FOR0040,Viana,63.415.087/0001-88,SP,Utilidades,True,CTR0040,Regular,False
